match_id,winner,raspberry_rounds,blueberry_rounds,rounds_played,raspberry_final_upgrades,blueberry_final_upgrades,raspberry_strategy,blueberry_strategy
1,raspberry,2,0,2,2,0,swarm_focus,swarm_focus
2,blueberry,0,2,2,0,0,swarm_focus,swarm_focus
3,blueberry,1,2,3,0,1,swarm_focus,swarm_focus
4,raspberry,2,1,3,1,0,swarm_focus,swarm_focus
5,raspberry,2,1,3,3,2,swarm_focus,swarm_focus
6,raspberry,2,0,2,1,1,swarm_focus,swarm_focus
7,blueberry,0,2,2,1,2,swarm_focus,swarm_focus
8,blueberry,0,2,2,1,2,swarm_focus,swarm_focus
9,raspberry,2,0,2,2,1,swarm_focus,swarm_focus
10,blueberry,0,2,2,0,0,swarm_focus,swarm_focus
11,blueberry,0,2,2,0,1,swarm_focus,swarm_focus
12,raspberry,2,0,2,3,2,swarm_focus,swarm_focus
13,blueberry,0,2,2,0,1,swarm_focus,swarm_focus
14,blueberry,1,2,3,1,1,swarm_focus,swarm_focus
15,blueberry,0,2,2,0,0,swarm_focus,swarm_focus
16,blueberry,1,2,3,2,1,swarm_focus,swarm_focus
17,blueberry,0,2,2,1,1,swarm_focus,swarm_focus
18,raspberry,2,0,2,0,0,swarm_focus,swarm_focus
19,blueberry,1,2,3,1,1,swarm_focus,swarm_focus
20,blueberry,1,2,3,1,1,swarm_focus,swarm_focus
21,blueberry,0,2,2,1,2,swarm_focus,swarm_focus
22,blueberry,0,2,2,0,1,swarm_focus,swarm_focus
23,blueberry,0,2,2,0,1,swarm_focus,swarm_focus
24,blueberry,1,2,3,2,2,swarm_focus,swarm_focus
25,blueberry,1,2,3,2,0,swarm_focus,swarm_focus
26,raspberry,2,1,3,3,3,swarm_focus,swarm_focus
27,blueberry,0,2,2,3,1,swarm_focus,swarm_focus
28,raspberry,2,0,2,2,0,swarm_focus,swarm_focus
29,blueberry,0,2,2,0,2,swarm_focus,swarm_focus
30,blueberry,0,2,2,1,1,swarm_focus,swarm_focus
31,blueberry,0,2,2,0,0,swarm_focus,swarm_focus
32,blueberry,1,2,3,1,1,swarm_focus,swarm_focus
33,blueberry,1,2,3,2,3,swarm_focus,swarm_focus
34,blueberry,0,2,2,0,2,swarm_focus,swarm_focus
35,blueberry,0,2,2,1,1,swarm_focus,swarm_focus
36,raspberry,2,1,3,2,0,swarm_focus,swarm_focus
37,raspberry,2,1,3,2,1,swarm_focus,swarm_focus
38,blueberry,0,2,2,2,1,swarm_focus,swarm_focus
39,blueberry,1,2,3,1,0,swarm_focus,swarm_focus
40,blueberry,0,2,2,1,2,swarm_focus,swarm_focus
41,blueberry,0,2,2,0,1,swarm_focus,swarm_focus
42,blueberry,0,2,2,1,1,swarm_focus,swarm_focus
43,raspberry,2,0,2,1,0,swarm_focus,swarm_focus
44,raspberry,2,0,2,2,0,swarm_focus,swarm_focus
45,blueberry,1,2,3,0,1,swarm_focus,swarm_focus
46,blueberry,0,2,2,1,1,swarm_focus,swarm_focus
47,blueberry,1,2,3,0,2,swarm_focus,swarm_focus
48,raspberry,2,1,3,3,2,swarm_focus,swarm_focus
49,blueberry,1,2,3,1,0,swarm_focus,swarm_focus
50,blueberry,0,2,2,0,0,swarm_focus,swarm_focus
51,blueberry,0,2,2,0,1,swarm_focus,swarm_focus
52,blueberry,1,2,3,0,2,swarm_focus,swarm_focus
53,blueberry,1,2,3,1,2,swarm_focus,swarm_focus
54,blueberry,0,2,2,0,1,swarm_focus,swarm_focus
55,raspberry,2,1,3,2,0,swarm_focus,swarm_focus
56,blueberry,0,2,2,0,0,swarm_focus,swarm_focus
57,blueberry,0,2,2,1,1,swarm_focus,swarm_focus
58,raspberry,2,1,3,1,1,swarm_focus,swarm_focus
59,blueberry,0,2,2,0,1,swarm_focus,swarm_focus
60,raspberry,2,0,2,2,0,swarm_focus,swarm_focus
61,blueberry,1,2,3,1,2,swarm_focus,swarm_focus
62,raspberry,2,0,2,2,1,swarm_focus,swarm_focus
63,raspberry,2,0,2,3,1,swarm_focus,swarm_focus
64,blueberry,1,2,3,2,2,swarm_focus,swarm_focus
65,blueberry,1,2,3,1,0,swarm_focus,swarm_focus
66,blueberry,0,2,2,0,1,swarm_focus,swarm_focus
67,raspberry,2,0,2,3,0,swarm_focus,swarm_focus
68,blueberry,0,2,2,1,2,swarm_focus,swarm_focus
69,raspberry,2,1,3,2,1,swarm_focus,swarm_focus
70,blueberry,1,2,3,2,1,swarm_focus,swarm_focus
71,raspberry,2,0,2,1,0,swarm_focus,swarm_focus
72,raspberry,2,1,3,2,0,swarm_focus,swarm_focus
73,raspberry,2,0,2,0,1,swarm_focus,swarm_focus
74,blueberry,1,2,3,1,1,swarm_focus,swarm_focus
75,blueberry,0,2,2,0,2,swarm_focus,swarm_focus
76,blueberry,0,2,2,0,2,swarm_focus,swarm_focus
77,raspberry,2,0,2,1,1,swarm_focus,swarm_focus
78,raspberry,2,1,3,2,2,swarm_focus,swarm_focus
79,blueberry,1,2,3,0,0,swarm_focus,swarm_focus
80,blueberry,0,2,2,0,0,swarm_focus,swarm_focus
