match_id,winner,raspberry_rounds,blueberry_rounds,rounds_played,raspberry_final_upgrades,blueberry_final_upgrades,raspberry_strategy,blueberry_strategy
1,raspberry,2,1,3,1,0,mixed_composition,ranged_focus
2,raspberry,2,0,2,1,0,mixed_composition,ranged_focus
3,raspberry,2,0,2,1,0,mixed_composition,ranged_focus
4,raspberry,2,0,2,2,0,upgrade_focus,ranged_focus
5,raspberry,2,0,2,1,0,mixed_composition,ranged_focus
6,raspberry,2,1,3,1,0,mixed_composition,ranged_focus
7,raspberry,2,1,3,1,0,mixed_composition,ranged_focus
8,raspberry,2,0,2,2,0,upgrade_focus,mixed_composition
9,raspberry,2,0,2,1,0,mixed_composition,ranged_focus
10,raspberry,2,0,2,1,0,mixed_composition,ranged_focus
11,raspberry,2,0,2,1,0,mixed_composition,ranged_focus
12,raspberry,2,1,3,1,0,mixed_composition,ranged_focus
13,raspberry,2,0,2,1,0,mixed_composition,ranged_focus
14,raspberry,2,0,2,1,0,mixed_composition,ranged_focus
15,raspberry,2,1,3,1,0,mixed_composition,ranged_focus
16,raspberry,2,1,3,1,0,mixed_composition,ranged_focus
17,raspberry,2,0,2,1,0,mixed_composition,ranged_focus
18,raspberry,2,0,2,2,0,upgrade_focus,ranged_focus
19,raspberry,2,0,2,1,0,mixed_composition,ranged_focus
20,raspberry,2,0,2,1,0,mixed_composition,ranged_focus
21,raspberry,2,1,3,1,0,mixed_composition,ranged_focus
22,raspberry,2,0,2,2,0,upgrade_focus,ranged_focus
23,raspberry,2,0,2,1,0,mixed_composition,ranged_focus
24,raspberry,2,0,2,2,0,upgrade_focus,ranged_focus
25,raspberry,2,1,3,1,0,mixed_composition,ranged_focus
26,raspberry,2,0,2,1,0,mixed_composition,ranged_focus
27,raspberry,2,0,2,1,0,mixed_composition,ranged_focus
28,raspberry,2,0,2,1,0,mixed_composition,ranged_focus
29,raspberry,2,1,3,1,0,mixed_composition,ranged_focus
30,raspberry,2,0,2,1,0,mixed_composition,ranged_focus
31,raspberry,2,1,3,2,0,upgrade_focus,ranged_focus
32,raspberry,2,1,3,2,0,upgrade_focus,ranged_focus
33,raspberry,2,0,2,1,0,mixed_composition,ranged_focus
34,raspberry,2,0,2,2,0,upgrade_focus,ranged_focus
35,raspberry,2,1,3,1,0,mixed_composition,ranged_focus
36,raspberry,2,0,2,1,0,mixed_composition,ranged_focus
37,raspberry,2,0,2,1,0,mixed_composition,ranged_focus
38,raspberry,2,0,2,1,0,mixed_composition,ranged_focus
39,raspberry,2,1,3,2,0,upgrade_focus,ranged_focus
40,raspberry,2,0,2,1,0,mixed_composition,ranged_focus
41,raspberry,2,1,3,1,0,mixed_composition,ranged_focus
42,blueberry,0,2,2,1,0,mixed_composition,mixed_composition
43,raspberry,2,0,2,1,0,mixed_composition,ranged_focus
44,raspberry,2,1,3,1,0,mixed_composition,ranged_focus
45,raspberry,2,0,2,2,0,upgrade_focus,ranged_focus
46,raspberry,2,0,2,1,0,mixed_composition,ranged_focus
47,raspberry,2,0,2,2,0,upgrade_focus,mixed_composition
48,raspberry,2,1,3,1,0,mixed_composition,ranged_focus
49,raspberry,2,0,2,2,0,upgrade_focus,ranged_focus
50,raspberry,2,0,2,1,0,mixed_composition,ranged_focus
51,raspberry,2,1,3,1,0,mixed_composition,ranged_focus
52,raspberry,2,0,2,1,0,mixed_composition,ranged_focus
53,raspberry,2,0,2,1,0,mixed_composition,ranged_focus
54,raspberry,2,0,2,2,0,upgrade_focus,ranged_focus
55,raspberry,2,0,2,2,0,upgrade_focus,ranged_focus
56,raspberry,2,0,2,1,0,mixed_composition,ranged_focus
57,raspberry,2,1,3,1,0,mixed_composition,ranged_focus
58,raspberry,2,0,2,1,0,mixed_composition,ranged_focus
59,raspberry,2,0,2,1,0,mixed_composition,ranged_focus
60,raspberry,2,0,2,2,0,upgrade_focus,ranged_focus
61,raspberry,2,0,2,1,0,mixed_composition,ranged_focus
62,raspberry,2,0,2,1,0,mixed_composition,ranged_focus
63,raspberry,2,0,2,1,0,mixed_composition,ranged_focus
64,raspberry,2,0,2,2,0,upgrade_focus,ranged_focus
65,raspberry,2,0,2,1,0,mixed_composition,ranged_focus
66,raspberry,2,0,2,1,0,mixed_composition,ranged_focus
67,raspberry,2,0,2,2,0,upgrade_focus,ranged_focus
68,raspberry,2,0,2,1,0,mixed_composition,ranged_focus
69,raspberry,2,0,2,1,0,mixed_composition,ranged_focus
70,raspberry,2,0,2,1,0,mixed_composition,ranged_focus
