match_id,round_no,winner,duration,final_control,raspberry_upgrades,blueberry_upgrades,reason
1,1,raspberry,180.0,3,0,0,time
1,2,raspberry,163.0,3,0,0,raspberry_full_control
2,1,raspberry,178.0,3,0,0,raspberry_full_control
2,2,raspberry,180.0,3,0,0,time
3,1,raspberry,180.0,0,0,0,time
3,2,raspberry,145.5,3,0,0,raspberry_full_control
4,1,raspberry,176.5,3,0,0,raspberry_full_control
4,2,raspberry,180.0,2,0,0,time
5,1,raspberry,180.0,1,0,0,time
5,2,raspberry,171.5,3,0,0,raspberry_full_control
6,1,raspberry,180.0,0,0,0,time
6,2,raspberry,84.5,2,0,0,raspberry_full_control
7,1,blueberry,180.0,-1,0,0,time
7,2,raspberry,104.5,3,0,0,raspberry_full_control
7,3,raspberry,180.0,3,0,0,time
8,1,raspberry,174.0,3,0,0,raspberry_full_control
8,2,raspberry,180.0,3,0,0,time
9,1,raspberry,114.0,3,0,0,raspberry_full_control
9,2,raspberry,133.0,3,0,0,raspberry_full_control
10,1,raspberry,180.0,1,0,0,time
10,2,raspberry,166.5,3,0,0,raspberry_full_control
11,1,raspberry,180.0,2,0,0,time
11,2,blueberry,143.5,-3,0,0,blueberry_full_control
11,3,raspberry,146.5,3,0,0,raspberry_full_control
12,1,blueberry,126.0,-3,0,0,blueberry_full_control
12,2,raspberry,93.5,3,0,0,raspberry_full_control
12,3,raspberry,103.0,3,0,0,raspberry_full_control
13,1,raspberry,180.0,3,0,0,time
13,2,raspberry,62.5,1,0,0,raspberry_full_control
14,1,blueberry,180.0,-3,0,0,time
14,2,raspberry,166.5,3,0,0,raspberry_full_control
14,3,raspberry,180.0,3,0,0,time
15,1,raspberry,180.0,3,0,0,time
15,2,raspberry,152.0,3,0,0,raspberry_full_control
16,1,raspberry,170.0,3,0,0,raspberry_full_control
16,2,raspberry,163.5,3,0,0,raspberry_full_control
17,1,raspberry,84.0,2,0,0,raspberry_full_control
17,2,raspberry,164.5,3,0,0,raspberry_full_control
18,1,raspberry,153.5,3,0,0,raspberry_full_control
18,2,blueberry,180.0,-1,0,0,time
18,3,raspberry,180.0,3,0,0,time
19,1,raspberry,180.0,2,0,1,time
19,2,raspberry,154.5,3,0,1,raspberry_full_control
20,1,blueberry,64.0,-1,0,0,raspberry_full_control
20,2,blueberry,148.0,-1,0,0,raspberry_full_control
21,1,raspberry,180.0,0,0,0,time
21,2,raspberry,180.0,3,0,0,time
22,1,raspberry,156.5,3,0,0,raspberry_full_control
22,2,raspberry,105.0,3,0,0,raspberry_full_control
23,1,raspberry,134.0,3,0,0,raspberry_full_control
23,2,raspberry,166.5,3,0,0,raspberry_full_control
24,1,raspberry,180.0,3,0,0,time
24,2,raspberry,162.5,3,0,0,raspberry_full_control
25,1,raspberry,104.5,2,0,0,raspberry_full_control
25,2,raspberry,155.0,3,0,0,raspberry_full_control
26,1,blueberry,180.0,-1,0,0,time
26,2,raspberry,162.5,3,0,0,raspberry_full_control
26,3,blueberry,62.5,-1,0,0,raspberry_full_control
27,1,raspberry,180.0,0,0,0,time
27,2,raspberry,170.5,3,0,0,raspberry_full_control
28,1,raspberry,164.0,3,0,0,raspberry_full_control
28,2,raspberry,166.5,3,0,0,raspberry_full_control
29,1,blueberry,162.0,-3,0,0,blueberry_full_control
29,2,blueberry,145.0,-3,0,0,blueberry_full_control
30,1,raspberry,137.5,3,0,0,raspberry_full_control
30,2,blueberry,180.0,-3,0,0,time
30,3,raspberry,84.0,2,0,0,raspberry_full_control
31,1,raspberry,83.0,2,0,0,raspberry_full_control
31,2,raspberry,180.0,2,0,0,time
32,1,raspberry,171.5,3,0,0,raspberry_full_control
32,2,raspberry,116.0,3,0,0,raspberry_full_control
33,1,raspberry,180.0,3,0,0,time
33,2,raspberry,146.0,3,0,0,raspberry_full_control
34,1,raspberry,166.0,3,0,0,raspberry_full_control
34,2,blueberry,180.0,-3,0,0,time
34,3,raspberry,180.0,1,0,0,time
35,1,raspberry,180.0,2,0,0,time
35,2,blueberry,180.0,-2,0,0,time
35,3,raspberry,156.0,3,0,0,raspberry_full_control
36,1,raspberry,103.5,2,0,0,raspberry_full_control
36,2,raspberry,136.5,3,0,0,raspberry_full_control
37,1,raspberry,145.5,3,0,0,raspberry_full_control
37,2,raspberry,86.0,2,0,0,raspberry_full_control
38,1,raspberry,134.5,3,0,0,raspberry_full_control
38,2,raspberry,162.5,3,0,0,raspberry_full_control
39,1,raspberry,146.0,3,0,0,raspberry_full_control
39,2,raspberry,155.5,3,0,0,raspberry_full_control
40,1,raspberry,154.0,3,0,0,raspberry_full_control
40,2,raspberry,177.5,3,0,0,raspberry_full_control
41,1,raspberry,152.0,3,0,0,raspberry_full_control
41,2,blueberry,180.0,-3,0,0,time
41,3,raspberry,180.0,3,0,0,time
42,1,raspberry,150.0,3,0,0,raspberry_full_control
42,2,raspberry,163.5,3,0,0,raspberry_full_control
43,1,blueberry,180.0,-2,0,0,time
43,2,raspberry,103.0,3,0,0,raspberry_full_control
43,3,raspberry,86.5,3,0,0,raspberry_full_control
44,1,raspberry,62.5,1,0,0,raspberry_full_control
44,2,raspberry,180.0,3,0,0,time
45,1,raspberry,160.0,3,0,0,raspberry_full_control
45,2,raspberry,145.0,3,0,0,raspberry_full_control
46,1,raspberry,180.0,3,0,0,time
46,2,raspberry,150.0,3,0,0,raspberry_full_control
47,1,raspberry,146.5,3,0,0,raspberry_full_control
47,2,raspberry,180.0,3,0,0,time
48,1,raspberry,174.5,3,0,0,raspberry_full_control
48,2,raspberry,175.5,3,0,0,raspberry_full_control
49,1,raspberry,166.5,3,0,0,raspberry_full_control
49,2,raspberry,93.5,2,0,0,raspberry_full_control
50,1,raspberry,180.0,3,0,0,time
50,2,raspberry,180.0,1,0,0,time
51,1,blueberry,166.5,-3,0,0,blueberry_full_control
51,2,raspberry,154.0,3,0,0,raspberry_full_control
51,3,raspberry,180.0,2,0,0,time
52,1,blueberry,140.5,-3,0,0,blueberry_full_control
52,2,blueberry,62.5,-2,0,0,raspberry_full_control
53,1,blueberry,95.5,0,0,0,raspberry_full_control
53,2,raspberry,180.0,1,0,0,time
53,3,raspberry,130.0,3,0,0,raspberry_full_control
54,1,raspberry,145.5,3,0,0,raspberry_full_control
54,2,raspberry,144.5,3,0,0,raspberry_full_control
55,1,raspberry,180.0,2,0,0,time
55,2,raspberry,180.0,2,0,0,time
56,1,raspberry,180.0,3,0,0,time
56,2,raspberry,165.0,3,0,0,raspberry_full_control
57,1,blueberry,146.0,-3,0,0,blueberry_full_control
57,2,raspberry,162.0,3,0,0,raspberry_full_control
57,3,raspberry,180.0,3,0,0,time
58,1,raspberry,173.0,3,0,0,raspberry_full_control
58,2,raspberry,178.0,3,0,0,raspberry_full_control
59,1,raspberry,135.0,3,0,0,raspberry_full_control
59,2,raspberry,115.0,3,0,0,raspberry_full_control
60,1,raspberry,180.0,3,0,0,time
60,2,raspberry,180.0,2,0,0,time
61,1,raspberry,180.0,3,0,0,time
61,2,raspberry,150.0,3,0,0,raspberry_full_control
62,1,raspberry,180.0,2,0,0,time
62,2,raspberry,95.0,2,0,0,raspberry_full_control
63,1,raspberry,180.0,0,0,0,time
63,2,raspberry,180.0,3,0,0,time
64,1,raspberry,114.5,3,0,0,raspberry_full_control
64,2,raspberry,105.5,3,0,0,raspberry_full_control
65,1,raspberry,174.5,3,0,0,raspberry_full_control
65,2,raspberry,167.5,3,0,0,raspberry_full_control
66,1,raspberry,153.5,3,0,0,raspberry_full_control
66,2,raspberry,180.0,0,0,0,time
67,1,raspberry,180.0,2,0,0,time
67,2,raspberry,144.0,3,0,0,raspberry_full_control
68,1,raspberry,134.5,3,0,0,raspberry_full_control
68,2,raspberry,142.0,3,0,0,raspberry_full_control
69,1,raspberry,180.0,3,0,0,time
69,2,raspberry,180.0,1,0,0,time
70,1,raspberry,175.5,3,0,0,raspberry_full_control
70,2,raspberry,145.5,3,0,0,raspberry_full_control
71,1,raspberry,180.0,0,0,0,time
71,2,blueberry,136.0,-3,0,0,blueberry_full_control
