match_id,winner,raspberry_rounds,blueberry_rounds,rounds_played,raspberry_final_upgrades,blueberry_final_upgrades,raspberry_strategy,blueberry_strategy
1,raspberry,2,0,2,0,0,mixed_composition,mixed_composition
2,blueberry,1,2,3,0,0,mixed_composition,swarm_focus
3,raspberry,2,1,3,0,0,mixed_composition,swarm_focus
4,raspberry,2,0,2,0,0,mixed_composition,swarm_focus
5,blueberry,1,2,3,0,0,mixed_composition,swarm_focus
6,blueberry,0,2,2,0,0,mixed_composition,swarm_focus
7,blueberry,1,2,3,0,0,mixed_composition,swarm_focus
8,blueberry,1,2,3,0,0,mixed_composition,swarm_focus
9,blueberry,1,2,3,0,0,mixed_composition,swarm_focus
10,blueberry,1,2,3,0,0,mixed_composition,swarm_focus
11,blueberry,1,2,3,0,0,mixed_composition,swarm_focus
12,raspberry,2,1,3,0,0,mixed_composition,swarm_focus
13,blueberry,0,2,2,0,0,mixed_composition,swarm_focus
14,blueberry,0,2,2,0,0,mixed_composition,swarm_focus
15,blueberry,0,2,2,0,0,mixed_composition,swarm_focus
16,raspberry,2,0,2,0,0,mixed_composition,swarm_focus
17,raspberry,2,0,2,0,0,mixed_composition,mixed_composition
18,raspberry,2,0,2,0,0,mixed_composition,swarm_focus
19,blueberry,1,2,3,0,0,mixed_composition,swarm_focus
20,raspberry,2,0,2,0,0,mixed_composition,swarm_focus
21,raspberry,2,1,3,0,0,mixed_composition,swarm_focus
22,raspberry,2,0,2,0,0,mixed_composition,mixed_composition
23,raspberry,2,0,2,0,0,mixed_composition,mixed_composition
24,raspberry,2,1,3,0,0,mixed_composition,swarm_focus
25,raspberry,2,0,2,0,0,mixed_composition,swarm_focus
26,raspberry,2,1,3,0,0,mixed_composition,swarm_focus
27,blueberry,1,2,3,0,0,mixed_composition,swarm_focus
28,raspberry,2,0,2,0,0,mixed_composition,swarm_focus
29,raspberry,2,0,2,0,0,mixed_composition,swarm_focus
30,raspberry,2,0,2,0,0,mixed_composition,swarm_focus
31,raspberry,2,1,3,0,0,mixed_composition,swarm_focus
32,raspberry,2,1,3,0,0,mixed_composition,swarm_focus
33,raspberry,2,1,3,0,0,mixed_composition,mixed_composition
34,raspberry,2,1,3,0,0,mixed_composition,swarm_focus
35,raspberry,2,0,2,0,0,mixed_composition,mixed_composition
36,raspberry,2,0,2,0,0,mixed_composition,swarm_focus
37,raspberry,2,0,2,0,0,mixed_composition,swarm_focus
38,raspberry,2,1,3,0,0,mixed_composition,swarm_focus
39,raspberry,2,1,3,0,0,mixed_composition,swarm_focus
40,blueberry,0,2,2,0,0,mixed_composition,swarm_focus
41,raspberry,2,0,2,0,0,mixed_composition,mixed_composition
42,raspberry,2,0,2,0,0,mixed_composition,mixed_composition
43,blueberry,1,2,3,0,0,mixed_composition,swarm_focus
44,blueberry,0,2,2,0,0,mixed_composition,swarm_focus
45,raspberry,2,0,2,0,0,mixed_composition,mixed_composition
46,blueberry,1,2,3,0,0,mixed_composition,swarm_focus
47,raspberry,2,0,2,0,0,mixed_composition,mixed_composition
48,raspberry,2,0,2,0,0,mixed_composition,swarm_focus
49,blueberry,1,2,3,0,0,mixed_composition,swarm_focus
50,raspberry,2,1,3,0,0,mixed_composition,swarm_focus
51,blueberry,0,2,2,0,0,mixed_composition,swarm_focus
52,raspberry,2,1,3,0,0,mixed_composition,swarm_focus
53,raspberry,2,0,2,0,0,mixed_composition,mixed_composition
54,raspberry,2,0,2,0,0,mixed_composition,mixed_composition
55,blueberry,1,2,3,0,0,mixed_composition,swarm_focus
56,blueberry,0,2,2,0,0,mixed_composition,swarm_focus
57,blueberry,1,2,3,0,0,mixed_composition,swarm_focus
58,raspberry,2,1,3,0,0,mixed_composition,swarm_focus
59,raspberry,2,1,3,0,0,mixed_composition,swarm_focus
60,raspberry,2,1,3,0,0,mixed_composition,swarm_focus
61,raspberry,2,0,2,0,0,mixed_composition,mixed_composition
62,raspberry,2,1,3,0,0,mixed_composition,swarm_focus
63,raspberry,2,0,2,0,0,mixed_composition,mixed_composition
64,raspberry,2,1,3,0,0,mixed_composition,swarm_focus
65,blueberry,0,2,2,0,0,mixed_composition,swarm_focus
66,blueberry,1,2,3,0,0,mixed_composition,swarm_focus
67,raspberry,2,1,3,0,0,mixed_composition,mixed_composition
68,raspberry,2,0,2,0,0,mixed_composition,swarm_focus
69,raspberry,2,1,3,0,0,mixed_composition,swarm_focus
70,raspberry,2,1,3,0,0,mixed_composition,mixed_composition
71,blueberry,1,2,3,0,0,mixed_composition,swarm_focus
72,raspberry,2,1,3,0,0,mixed_composition,swarm_focus
73,blueberry,1,2,3,0,0,mixed_composition,swarm_focus
74,blueberry,1,2,3,0,0,mixed_composition,swarm_focus
75,raspberry,2,1,3,0,0,mixed_composition,swarm_focus
76,blueberry,1,2,3,0,0,mixed_composition,swarm_focus
77,blueberry,1,2,3,0,0,mixed_composition,swarm_focus
78,raspberry,2,1,3,0,0,mixed_composition,swarm_focus
79,blueberry,1,2,3,0,0,mixed_composition,swarm_focus
80,blueberry,0,2,2,0,1,mixed_composition,swarm_focus
