match_id,winner,raspberry_rounds,blueberry_rounds,rounds_played,raspberry_final_upgrades,blueberry_final_upgrades,raspberry_strategy,blueberry_strategy
1,blueberry,0,2,2,2,3,upgrade_focus,upgrade_focus
2,blueberry,0,2,2,1,2,swarm_focus,upgrade_focus
3,blueberry,0,2,2,0,3,swarm_focus,upgrade_focus
4,blueberry,0,2,2,1,4,swarm_focus,upgrade_focus
5,blueberry,0,2,2,7,5,upgrade_focus,upgrade_focus
6,blueberry,0,2,2,0,5,swarm_focus,upgrade_focus
7,blueberry,0,2,2,1,2,swarm_focus,upgrade_focus
8,blueberry,0,2,2,0,3,swarm_focus,upgrade_focus
9,blueberry,0,2,2,0,2,swarm_focus,upgrade_focus
10,blueberry,0,2,2,0,4,swarm_focus,upgrade_focus
