match_id,winner,raspberry_rounds,blueberry_rounds,rounds_played,raspberry_final_upgrades,blueberry_final_upgrades,raspberry_strategy,blueberry_strategy
1,raspberry,2,0,2,3,0,swarm_focus,swarm_focus
2,blueberry,0,2,2,2,2,swarm_focus,swarm_focus
3,raspberry,2,0,2,1,0,swarm_focus,swarm_focus
4,raspberry,2,0,2,3,1,swarm_focus,swarm_focus
5,raspberry,2,0,2,1,0,swarm_focus,swarm_focus
6,raspberry,2,0,2,2,0,swarm_focus,swarm_focus
7,raspberry,2,1,3,3,1,swarm_focus,swarm_focus
8,blueberry,0,2,2,0,1,swarm_focus,swarm_focus
9,raspberry,2,0,2,3,0,swarm_focus,swarm_focus
10,raspberry,2,0,2,2,1,swarm_focus,swarm_focus
11,raspberry,2,0,2,2,0,swarm_focus,swarm_focus
12,raspberry,2,0,2,3,0,swarm_focus,swarm_focus
13,raspberry,2,0,2,3,0,swarm_focus,swarm_focus
14,raspberry,2,0,2,1,0,swarm_focus,swarm_focus
15,raspberry,2,1,3,3,0,swarm_focus,swarm_focus
16,raspberry,2,0,2,2,0,swarm_focus,swarm_focus
17,raspberry,2,0,2,3,0,swarm_focus,swarm_focus
18,raspberry,2,1,3,1,0,swarm_focus,swarm_focus
19,raspberry,2,1,3,3,2,swarm_focus,swarm_focus
20,raspberry,2,0,2,2,0,swarm_focus,swarm_focus
21,blueberry,1,2,3,3,2,swarm_focus,swarm_focus
22,raspberry,2,0,2,1,0,swarm_focus,swarm_focus
23,blueberry,1,2,3,1,1,swarm_focus,swarm_focus
24,raspberry,2,0,2,2,0,swarm_focus,swarm_focus
25,raspberry,2,1,3,3,1,swarm_focus,swarm_focus
26,raspberry,2,0,2,1,0,swarm_focus,swarm_focus
27,raspberry,2,0,2,2,0,swarm_focus,swarm_focus
28,raspberry,2,1,3,4,1,swarm_focus,swarm_focus
29,blueberry,0,2,2,0,0,swarm_focus,swarm_focus
30,raspberry,2,0,2,3,0,swarm_focus,swarm_focus
31,blueberry,0,2,2,2,3,swarm_focus,swarm_focus
32,raspberry,2,1,3,3,1,swarm_focus,swarm_focus
33,raspberry,2,0,2,2,0,swarm_focus,swarm_focus
34,raspberry,2,0,2,1,0,swarm_focus,swarm_focus
35,blueberry,1,2,3,1,0,swarm_focus,swarm_focus
36,blueberry,0,2,2,1,1,swarm_focus,swarm_focus
37,raspberry,2,0,2,1,0,swarm_focus,swarm_focus
38,raspberry,2,1,3,2,1,swarm_focus,swarm_focus
39,raspberry,2,0,2,2,0,swarm_focus,swarm_focus
40,raspberry,2,0,2,2,0,swarm_focus,swarm_focus
41,raspberry,2,1,3,2,0,swarm_focus,swarm_focus
42,raspberry,2,0,2,2,1,swarm_focus,swarm_focus
43,raspberry,2,0,2,2,1,swarm_focus,swarm_focus
44,blueberry,0,2,2,0,1,swarm_focus,swarm_focus
45,raspberry,2,0,2,2,0,swarm_focus,swarm_focus
46,raspberry,2,0,2,2,0,swarm_focus,swarm_focus
47,raspberry,2,0,2,1,0,swarm_focus,swarm_focus
48,raspberry,2,0,2,3,0,swarm_focus,swarm_focus
49,raspberry,2,0,2,2,1,swarm_focus,swarm_focus
50,raspberry,2,0,2,2,0,swarm_focus,swarm_focus
51,blueberry,1,2,3,1,2,swarm_focus,swarm_focus
52,blueberry,0,2,2,1,1,swarm_focus,swarm_focus
53,raspberry,2,0,2,3,0,swarm_focus,swarm_focus
54,raspberry,2,1,3,2,0,swarm_focus,swarm_focus
55,raspberry,2,1,3,1,0,swarm_focus,swarm_focus
56,raspberry,2,1,3,2,0,swarm_focus,swarm_focus
57,raspberry,2,1,3,1,1,swarm_focus,swarm_focus
58,raspberry,2,1,3,3,3,swarm_focus,swarm_focus
59,blueberry,1,2,3,1,3,swarm_focus,swarm_focus
60,raspberry,2,1,3,2,0,swarm_focus,swarm_focus
61,blueberry,0,2,2,0,1,swarm_focus,swarm_focus
62,blueberry,0,2,2,0,1,swarm_focus,swarm_focus
63,blueberry,1,2,3,1,1,swarm_focus,swarm_focus
64,blueberry,0,2,2,1,2,swarm_focus,swarm_focus
65,raspberry,2,0,2,2,0,swarm_focus,swarm_focus
66,raspberry,2,0,2,4,0,swarm_focus,swarm_focus
67,raspberry,2,0,2,2,0,swarm_focus,swarm_focus
68,blueberry,1,2,3,3,2,swarm_focus,swarm_focus
69,raspberry,2,0,2,2,0,swarm_focus,swarm_focus
70,blueberry,1,2,3,0,0,swarm_focus,swarm_focus
71,blueberry,0,2,2,0,1,swarm_focus,swarm_focus
72,raspberry,2,0,2,3,0,swarm_focus,swarm_focus
73,raspberry,2,0,2,2,1,swarm_focus,swarm_focus
74,raspberry,2,1,3,1,0,swarm_focus,swarm_focus
75,raspberry,2,0,2,4,0,swarm_focus,swarm_focus
76,raspberry,2,0,2,1,0,swarm_focus,swarm_focus
77,raspberry,2,0,2,1,0,swarm_focus,swarm_focus
78,blueberry,0,2,2,1,3,swarm_focus,swarm_focus
79,raspberry,2,0,2,2,0,swarm_focus,swarm_focus
80,raspberry,2,1,3,1,1,swarm_focus,swarm_focus
