match_id,round_no,winner,duration,final_control,raspberry_upgrades,blueberry_upgrades,reason
1,1,blueberry,134.5,-3,0,0,blueberry_full_control
1,2,blueberry,147.5,-3,0,0,blueberry_full_control
2,1,blueberry,138.5,-3,0,0,blueberry_full_control
2,2,blueberry,141.5,-3,0,0,blueberry_full_control
3,1,blueberry,150.0,-3,0,0,blueberry_full_control
3,2,blueberry,144.0,-3,0,0,blueberry_full_control
4,1,blueberry,151.5,-3,0,0,blueberry_full_control
4,2,blueberry,144.0,-3,0,0,blueberry_full_control
5,1,blueberry,146.5,-3,0,0,blueberry_full_control
5,2,blueberry,148.0,-3,0,0,blueberry_full_control
6,1,blueberry,139.0,-3,0,0,blueberry_full_control
6,2,blueberry,148.0,-3,0,0,blueberry_full_control
7,1,blueberry,152.5,-3,0,0,blueberry_full_control
7,2,blueberry,162.0,-3,0,0,blueberry_full_control
8,1,blueberry,145.0,-3,0,0,blueberry_full_control
8,2,blueberry,130.5,-3,0,0,blueberry_full_control
9,1,blueberry,144.0,-3,0,0,blueberry_full_control
9,2,blueberry,144.0,-3,0,0,blueberry_full_control
10,1,blueberry,136.5,-3,0,0,blueberry_full_control
10,2,blueberry,137.0,-3,0,0,blueberry_full_control
