match_id,round_no,winner,duration,final_control,raspberry_upgrades,blueberry_upgrades,reason
1,1,raspberry,155.0,3,0,0,raspberry_full_control
1,2,raspberry,170.0,3,0,0,raspberry_full_control
2,1,raspberry,170.0,3,0,0,raspberry_full_control
2,2,raspberry,155.5,3,0,0,raspberry_full_control
3,1,raspberry,155.0,3,0,0,raspberry_full_control
3,2,raspberry,162.5,3,0,0,raspberry_full_control
4,1,raspberry,156.0,3,0,0,raspberry_full_control
4,2,raspberry,174.5,3,0,0,raspberry_full_control
5,1,raspberry,158.0,3,0,0,raspberry_full_control
5,2,raspberry,161.5,3,0,0,raspberry_full_control
6,1,raspberry,148.5,3,0,0,raspberry_full_control
6,2,raspberry,158.0,3,0,0,raspberry_full_control
7,1,raspberry,159.0,3,0,0,raspberry_full_control
7,2,raspberry,168.0,3,0,0,raspberry_full_control
8,1,raspberry,170.0,3,0,0,raspberry_full_control
8,2,raspberry,163.0,3,0,0,raspberry_full_control
9,1,raspberry,166.0,3,0,0,raspberry_full_control
9,2,raspberry,155.5,3,0,0,raspberry_full_control
10,1,raspberry,153.5,3,0,0,raspberry_full_control
10,2,raspberry,170.0,3,0,0,raspberry_full_control
