match_id,round_no,winner,duration,final_control,raspberry_upgrades,blueberry_upgrades,reason
1,1,raspberry,154.0,3,0,1,raspberry_full_control
1,2,raspberry,164.0,3,0,1,raspberry_full_control
2,1,raspberry,162.0,3,0,1,raspberry_full_control
2,2,blueberry,165.0,-3,0,2,blueberry_full_control
2,3,raspberry,180.0,3,0,2,time
3,1,raspberry,152.0,3,0,1,raspberry_full_control
3,2,raspberry,174.0,3,0,1,raspberry_full_control
4,1,raspberry,180.0,3,0,0,time
4,2,raspberry,180.0,3,0,0,time
5,1,raspberry,180.0,3,0,0,time
5,2,raspberry,162.0,3,0,1,raspberry_full_control
6,1,raspberry,158.0,3,0,1,raspberry_full_control
6,2,raspberry,179.0,3,0,1,raspberry_full_control
7,1,raspberry,179.0,3,0,1,raspberry_full_control
7,2,blueberry,138.5,-3,0,2,blueberry_full_control
7,3,blueberry,180.0,-2,0,3,time
8,1,raspberry,161.0,3,0,0,raspberry_full_control
8,2,raspberry,146.0,3,0,1,raspberry_full_control
9,1,raspberry,152.0,3,0,0,raspberry_full_control
9,2,raspberry,180.0,3,0,1,time
10,1,raspberry,149.0,3,0,1,raspberry_full_control
10,2,raspberry,167.0,3,0,2,raspberry_full_control
