match_id,round_no,winner,duration,final_control,raspberry_upgrades,blueberry_upgrades,reason
1,1,blueberry,51.75,-3,1,1,blueberry_full_control
1,2,raspberry,180.0,1,1,1,time
1,3,raspberry,180.0,1,1,1,time
2,1,blueberry,51.75,-3,1,1,blueberry_full_control
2,2,raspberry,180.0,1,1,1,time
2,3,raspberry,180.0,1,1,1,time
3,1,blueberry,51.75,-3,1,1,blueberry_full_control
3,2,raspberry,180.0,1,1,1,time
3,3,raspberry,180.0,1,1,1,time
4,1,blueberry,51.75,-3,1,1,blueberry_full_control
4,2,raspberry,180.0,1,1,1,time
4,3,raspberry,180.0,1,1,1,time
5,1,blueberry,51.75,-3,1,1,blueberry_full_control
5,2,raspberry,180.0,1,1,1,time
5,3,raspberry,180.0,1,1,1,time
6,1,blueberry,51.75,-3,1,1,blueberry_full_control
6,2,raspberry,180.0,1,1,1,time
6,3,raspberry,180.0,1,1,1,time
7,1,blueberry,51.75,-3,1,1,blueberry_full_control
7,2,raspberry,180.0,1,1,1,time
7,3,raspberry,180.0,1,1,1,time
8,1,blueberry,51.75,-3,1,1,blueberry_full_control
8,2,raspberry,180.0,1,1,1,time
8,3,raspberry,180.0,1,1,1,time
9,1,blueberry,51.75,-3,1,1,blueberry_full_control
9,2,raspberry,180.0,1,1,1,time
9,3,raspberry,180.0,1,1,1,time
10,1,blueberry,51.75,-3,1,1,blueberry_full_control
10,2,raspberry,180.0,1,1,1,time
10,3,raspberry,180.0,1,1,1,time
11,1,blueberry,51.75,-3,1,1,blueberry_full_control
11,2,raspberry,180.0,1,1,1,time
11,3,raspberry,180.0,1,1,1,time
12,1,blueberry,51.75,-3,1,1,blueberry_full_control
12,2,raspberry,180.0,1,1,1,time
12,3,raspberry,180.0,1,1,1,time
13,1,blueberry,51.75,-3,1,1,blueberry_full_control
13,2,raspberry,180.0,1,1,1,time
13,3,raspberry,180.0,1,1,1,time
14,1,blueberry,51.75,-3,1,1,blueberry_full_control
14,2,raspberry,180.0,1,1,1,time
14,3,raspberry,180.0,1,1,1,time
15,1,blueberry,51.75,-3,1,1,blueberry_full_control
15,2,raspberry,180.0,1,1,1,time
15,3,raspberry,180.0,1,1,1,time
16,1,blueberry,51.75,-3,1,1,blueberry_full_control
16,2,raspberry,180.0,1,1,1,time
16,3,raspberry,180.0,1,1,1,time
17,1,blueberry,51.75,-3,1,1,blueberry_full_control
17,2,raspberry,180.0,1,1,1,time
17,3,raspberry,180.0,1,1,1,time
18,1,blueberry,51.75,-3,1,1,blueberry_full_control
18,2,raspberry,180.0,1,1,1,time
18,3,raspberry,180.0,1,1,1,time
19,1,blueberry,51.75,-3,1,1,blueberry_full_control
19,2,raspberry,180.0,1,1,1,time
19,3,raspberry,180.0,1,1,1,time
20,1,blueberry,51.75,-3,1,1,blueberry_full_control
20,2,raspberry,180.0,1,1,1,time
20,3,raspberry,180.0,1,1,1,time
21,1,blueberry,51.75,-3,1,1,blueberry_full_control
21,2,raspberry,180.0,1,1,1,time
21,3,raspberry,180.0,1,1,1,time
22,1,blueberry,51.75,-3,1,1,blueberry_full_control
22,2,raspberry,180.0,1,1,1,time
22,3,raspberry,180.0,1,1,1,time
23,1,blueberry,51.75,-3,1,1,blueberry_full_control
23,2,raspberry,180.0,1,1,1,time
23,3,raspberry,180.0,1,1,1,time
24,1,blueberry,51.75,-3,1,1,blueberry_full_control
24,2,raspberry,180.0,1,1,1,time
24,3,raspberry,180.0,1,1,1,time
25,1,blueberry,51.75,-3,1,1,blueberry_full_control
25,2,raspberry,180.0,1,1,1,time
25,3,raspberry,180.0,1,1,1,time
26,1,blueberry,51.75,-3,1,1,blueberry_full_control
26,2,raspberry,180.0,1,1,1,time
26,3,raspberry,180.0,1,1,1,time
27,1,blueberry,51.75,-3,1,1,blueberry_full_control
27,2,raspberry,180.0,1,1,1,time
27,3,raspberry,180.0,1,1,1,time
28,1,blueberry,51.75,-3,1,1,blueberry_full_control
