match_id,round_no,winner,duration,final_control,raspberry_upgrades,blueberry_upgrades,reason
1,1,blueberry,180.0,-1,1,1,time
1,2,blueberry,180.0,-2,1,2,time
2,1,blueberry,180.0,-1,1,1,time
2,2,blueberry,180.0,-2,1,2,time
3,1,blueberry,180.0,-1,1,1,time
3,2,blueberry,180.0,-2,1,2,time
4,1,blueberry,180.0,-1,1,1,time
4,2,blueberry,180.0,-2,1,2,time
5,1,blueberry,180.0,-1,1,1,time
5,2,blueberry,180.0,-2,1,2,time
6,1,blueberry,180.0,-1,1,1,time
6,2,blueberry,180.0,-2,1,2,time
7,1,blueberry,180.0,-1,1,1,time
7,2,blueberry,180.0,-2,1,2,time
8,1,blueberry,180.0,-1,1,1,time
8,2,blueberry,180.0,-2,1,2,time
9,1,blueberry,180.0,-1,1,1,time
9,2,blueberry,180.0,-2,1,2,time
10,1,blueberry,180.0,-1,1,1,time
10,2,blueberry,180.0,-2,1,2,time
11,1,blueberry,180.0,-1,1,1,time
11,2,blueberry,180.0,-2,1,2,time
12,1,blueberry,180.0,-1,1,1,time
12,2,blueberry,180.0,-2,1,2,time
13,1,blueberry,180.0,-1,1,1,time
13,2,blueberry,180.0,-2,1,2,time
14,1,blueberry,180.0,-1,1,1,time
14,2,blueberry,180.0,-2,1,2,time
15,1,blueberry,180.0,-1,1,1,time
15,2,blueberry,180.0,-2,1,2,time
16,1,blueberry,180.0,-1,1,1,time
16,2,blueberry,180.0,-2,1,2,time
17,1,blueberry,180.0,-1,1,1,time
17,2,blueberry,180.0,-2,1,2,time
18,1,blueberry,180.0,-1,1,1,time
18,2,blueberry,180.0,-2,1,2,time
19,1,blueberry,180.0,-1,1,1,time
19,2,blueberry,180.0,-2,1,2,time
20,1,blueberry,180.0,-1,1,1,time
20,2,blueberry,180.0,-2,1,2,time
21,1,blueberry,180.0,-1,1,1,time
21,2,blueberry,180.0,-2,1,2,time
22,1,blueberry,180.0,-1,1,1,time
22,2,blueberry,180.0,-2,1,2,time
23,1,blueberry,180.0,-1,1,1,time
23,2,blueberry,180.0,-2,1,2,time
24,1,blueberry,180.0,-1,1,1,time
24,2,blueberry,180.0,-2,1,2,time
25,1,blueberry,180.0,-1,1,1,time
25,2,blueberry,180.0,-2,1,2,time
26,1,blueberry,180.0,-1,1,1,time
26,2,blueberry,180.0,-2,1,2,time
27,1,blueberry,180.0,-1,1,1,time
27,2,blueberry,180.0,-2,1,2,time
28,1,blueberry,180.0,-1,1,1,time
28,2,blueberry,180.0,-2,1,2,time
29,1,blueberry,180.0,-1,1,1,time
29,2,blueberry,180.0,-2,1,2,time
30,1,blueberry,180.0,-1,1,1,time
30,2,blueberry,180.0,-2,1,2,time
31,1,blueberry,180.0,-1,1,1,time
31,2,blueberry,180.0,-2,1,2,time
32,1,blueberry,180.0,-1,1,1,time
32,2,blueberry,180.0,-2,1,2,time
33,1,blueberry,180.0,-1,1,1,time
33,2,blueberry,180.0,-2,1,2,time
34,1,blueberry,180.0,-1,1,1,time
34,2,blueberry,180.0,-2,1,2,time
35,1,blueberry,180.0,-1,1,1,time
35,2,blueberry,180.0,-2,1,2,time
36,1,blueberry,180.0,-1,1,1,time
36,2,blueberry,180.0,-2,1,2,time
37,1,blueberry,180.0,-1,1,1,time
37,2,blueberry,180.0,-2,1,2,time
38,1,blueberry,180.0,-1,1,1,time
38,2,blueberry,180.0,-2,1,2,time
39,1,blueberry,180.0,-1,1,1,time
39,2,blueberry,180.0,-2,1,2,time
40,1,blueberry,180.0,-1,1,1,time
40,2,blueberry,180.0,-2,1,2,time
41,1,blueberry,180.0,-1,1,1,time
41,2,blueberry,180.0,-2,1,2,time
42,1,blueberry,180.0,-1,1,1,time
42,2,blueberry,180.0,-2,1,2,time
43,1,blueberry,180.0,-1,1,1,time
43,2,blueberry,180.0,-2,1,2,time
44,1,blueberry,180.0,-1,1,1,time
44,2,blueberry,180.0,-2,1,2,time
45,1,blueberry,180.0,-1,1,1,time
45,2,blueberry,180.0,-2,1,2,time
46,1,blueberry,180.0,-1,1,1,time
46,2,blueberry,180.0,-2,1,2,time
47,1,blueberry,180.0,-1,1,1,time
47,2,blueberry,180.0,-2,1,2,time
48,1,blueberry,180.0,-1,1,1,time
