match_id,round_no,winner,duration,final_control,raspberry_upgrades,blueberry_upgrades,reason
1,1,raspberry,180.0,2,1,0,time
1,2,raspberry,180.0,1,2,0,time
2,1,raspberry,180.0,2,3,0,time
2,2,raspberry,180.0,3,3,0,time
3,1,raspberry,180.0,1,1,0,time
3,2,raspberry,180.0,3,3,0,time
4,1,raspberry,180.0,0,2,0,time
4,2,raspberry,180.0,3,3,0,time
5,1,raspberry,180.0,0,0,0,time
5,2,raspberry,180.0,2,2,0,time
6,1,raspberry,180.0,1,2,0,time
6,2,raspberry,147.0,3,3,0,raspberry_full_control
7,1,raspberry,180.0,3,3,0,time
7,2,raspberry,163.0,3,3,0,raspberry_full_control
8,1,raspberry,180.0,2,2,0,time
8,2,raspberry,140.0,3,3,0,raspberry_full_control
9,1,raspberry,180.0,3,3,0,time
9,2,raspberry,168.0,3,3,0,raspberry_full_control
10,1,raspberry,180.0,3,2,0,time
10,2,raspberry,166.5,3,3,0,raspberry_full_control
