match_id,winner,raspberry_rounds,blueberry_rounds,rounds_played,raspberry_final_upgrades,blueberry_final_upgrades,raspberry_strategy,blueberry_strategy
1,raspberry,2,0,2,0,0,tank_focus,tank_focus
2,raspberry,2,0,2,0,0,mixed_composition,mixed_composition
3,blueberry,0,2,2,0,0,tank_focus,mixed_composition
4,blueberry,1,2,3,0,0,mixed_composition,mixed_composition
5,blueberry,0,2,2,0,0,mixed_composition,mixed_composition
6,raspberry,2,0,2,0,0,mixed_composition,tank_aoe_focus
7,raspberry,2,0,2,0,0,mixed_composition,mixed_composition
8,blueberry,0,2,2,0,0,mixed_composition,mixed_composition
9,raspberry,2,0,2,0,0,mixed_composition,mixed_composition
10,raspberry,2,0,2,0,0,mixed_composition,mixed_composition
11,blueberry,0,2,2,0,0,mixed_composition,swarm_focus
12,blueberry,0,2,2,0,0,mixed_composition,mixed_composition
13,raspberry,2,0,2,0,0,mixed_composition,mixed_composition
14,raspberry,2,1,3,0,1,tank_focus,tank_focus
15,blueberry,1,2,3,0,0,mixed_composition,mixed_composition
16,raspberry,2,0,2,0,0,mixed_composition,mixed_composition
17,raspberry,2,1,3,0,1,mixed_composition,mixed_composition
18,raspberry,2,0,2,0,0,tank_aoe_focus,mixed_composition
19,blueberry,0,2,2,0,0,mixed_composition,mixed_composition
20,blueberry,1,2,3,0,0,mixed_composition,mixed_composition
21,blueberry,0,2,2,0,0,mixed_composition,mixed_composition
22,blueberry,0,2,2,0,0,mixed_composition,mixed_composition
23,raspberry,2,1,3,0,1,mixed_composition,mixed_composition
24,blueberry,0,2,2,0,0,mixed_composition,mixed_composition
25,blueberry,1,2,3,0,1,mixed_composition,mixed_composition
26,blueberry,1,2,3,0,0,mixed_composition,mixed_composition
27,raspberry,2,0,2,0,0,mixed_composition,mixed_composition
28,raspberry,2,0,2,0,0,mixed_composition,mixed_composition
29,blueberry,1,2,3,0,0,mixed_composition,mixed_composition
30,raspberry,2,0,2,0,0,mixed_composition,mixed_composition
31,raspberry,2,0,2,0,0,mixed_composition,mixed_composition
32,blueberry,0,2,2,0,0,mixed_composition,mixed_composition
33,blueberry,1,2,3,0,1,mixed_composition,mixed_composition
34,raspberry,2,1,3,0,0,mixed_composition,mixed_composition
35,blueberry,1,2,3,0,0,mixed_composition,mixed_composition
36,raspberry,2,0,2,0,0,mixed_composition,mixed_composition
37,raspberry,2,0,2,0,0,mixed_composition,mixed_composition
38,raspberry,2,0,2,1,0,mixed_composition,mixed_composition
39,blueberry,1,2,3,0,0,mixed_composition,mixed_composition
40,raspberry,2,0,2,0,0,mixed_composition,mixed_composition
41,blueberry,0,2,2,0,0,mixed_composition,mixed_composition
42,blueberry,1,2,3,0,0,mixed_composition,mixed_composition
43,raspberry,2,0,2,0,0,mixed_composition,mixed_composition
44,raspberry,2,0,2,0,0,mixed_composition,mixed_composition
45,blueberry,1,2,3,0,1,mixed_composition,swarm_focus
46,raspberry,2,0,2,0,0,mixed_composition,mixed_composition
47,blueberry,1,2,3,0,0,mixed_composition,mixed_composition
48,raspberry,2,0,2,1,0,mixed_composition,mixed_composition
49,raspberry,2,1,3,0,1,mixed_composition,mixed_composition
50,raspberry,2,0,2,0,0,mixed_composition,mixed_composition
51,raspberry,2,0,2,0,0,mixed_composition,mixed_composition
52,raspberry,2,1,3,0,0,mixed_composition,mixed_composition
53,raspberry,2,0,2,0,0,mixed_composition,mixed_composition
54,blueberry,0,2,2,0,0,mixed_composition,mixed_composition
55,blueberry,0,2,2,0,0,mixed_composition,mixed_composition
56,raspberry,2,0,2,0,0,mixed_composition,mixed_composition
57,raspberry,2,0,2,0,0,mixed_composition,mixed_composition
58,blueberry,1,2,3,0,0,mixed_composition,mixed_composition
59,raspberry,2,1,3,0,0,mixed_composition,mixed_composition
60,raspberry,2,0,2,0,0,mixed_composition,mixed_composition
61,blueberry,1,2,3,0,1,mixed_composition,mixed_composition
62,blueberry,0,2,2,0,0,mixed_composition,mixed_composition
63,raspberry,2,1,3,0,1,tank_focus,mixed_composition
64,raspberry,2,0,2,1,0,mixed_composition,mixed_composition
65,blueberry,0,2,2,0,0,mixed_composition,swarm_focus
66,blueberry,0,2,2,0,0,mixed_composition,mixed_composition
67,raspberry,2,0,2,0,1,mixed_composition,mixed_composition
68,blueberry,0,2,2,0,0,mixed_composition,mixed_composition
69,raspberry,2,1,3,1,0,mixed_composition,mixed_composition
70,blueberry,0,2,2,0,0,mixed_composition,mixed_composition
